experience,name,age,highest_qualfication_rank,district,state,stream,gender,external_id,id,specialization
6,Ganesh,19,6,Alappuzha,Kerala,CS,Female,41,41,Software Engineering & Development
0,Siddharth,25,5,Ernakulam,Kerala,CS,Male,42,42,Cybersecurity & Information Security
2,Ankur,30,6,Kanchipuram,Tamil Nadu,CS,Not specified,43,43,Data Science & Big Data Analytics
5,Hemant,28,5,Gwalior,Madhya Pradesh,CS,Male,44,44,Cloud Computing & DevOps
2,Bhavya,28,5,Rewa,Madhya Pradesh,CS,Male,45,45,Cybersecurity & Information Security
1,Lakshmi,25,4,Darjeeling,West Bengal,CS,Not specified,46,46,Software Engineering & Development
4,Aditi,28,6,Kanchipuram,Tamil Nadu,CS,Not specified,47,47,Artificial Intelligence & Machine Learning
4,Anup,25,3,Thiruvananthapuram,Kerala,CS,Not specified,48,48,Cloud Computing & DevOps
4,Rahul,28,6,Ballari,Karnataka,CS,Female,49,49,Software Engineering & Development
1,Ashok,20,3,Kollam,Kerala,CS,Male,50,50,Cloud Computing & DevOps
5,Dinesh,29,3,Tirunelveli,Tamil Nadu,CS,Not specified,51,51,Software Engineering & Development
1,Vivek,27,4,Jaipur,Rajasthan,CS,Not specified,52,52,Cybersecurity & Information Security
4,Kavya,25,3,Jalgaon,Maharashtra,CS,Male,53,53,Cloud Computing & DevOps
0,Uma,22,4,Pune,Maharashtra,CS,Female,54,54,Artificial Intelligence & Machine Learning
4,Dinesh,28,6,Meerut,Uttar Pradesh,CS,Not specified,55,55,Cloud Computing & DevOps
4,Ashok,18,6,Rewa,Madhya Pradesh,CS,Male,56,56,Software Engineering & Development
4,Ashwin,22,6,Nashik,Maharashtra,CS,Not specified,57,57,Cybersecurity & Information Security
5,Sandeep,25,6,Pathanamthitta,Kerala,CS,Not specified,58,58,Cybersecurity & Information Security
0,Sunil,27,6,Rewa,Madhya Pradesh,CS,Male,59,59,Cloud Computing & DevOps
2,Aishwarya,20,6,Nagpur,Maharashtra,CS,Not specified,60,60,Software Engineering & Development
6,Keerthi,27,6,South 24 Parganas,West Bengal,CS,Female,61,61,Artificial Intelligence & Machine Learning
0,Aarav,26,6,Solapur,Maharashtra,CS,Female,62,62,Cloud Computing & DevOps
2,Rohini,28,4,Sikar,Rajasthan,CS,Female,63,63,Artificial Intelligence & Machine Learning
4,Ramesh,28,3,Coimbatore,Tamil Nadu,CS,Not specified,64,64,Software Engineering & Development
3,Shalini,28,6,Karimnagar,Telangana,CS,Female,65,65,Cloud Computing & DevOps
2,Shalini,28,4,Udaipur,Rajasthan,CS,Male,66,66,Cloud Computing & DevOps
1,Siddharth,20,4,Bengaluru Rural,Karnataka,CS,Female,67,67,Cloud Computing & DevOps
5,Ekta,18,5,Jaipur,Rajasthan,CS,Female,68,68,Software Engineering & Development
5,Tejas,21,6,Kozhikode,Kerala,CS,Not specified,69,69,Artificial Intelligence & Machine Learning
5,Neha,24,4,Darjeeling,West Bengal,CS,Female,70,70,Artificial Intelligence & Machine Learning
0,Hemant,28,6,Warangal,Telangana,CS,Female,71,71,Cloud Computing & DevOps
5,Shubham,22,5,Bhopal,Madhya Pradesh,CS,Female,72,72,Software Engineering & Development
6,Meera,20,6,Ahmednagar,Maharashtra,CS,Not specified,73,73,Cybersecurity & Information Security
3,Sakshi,21,3,Pathanamthitta,Kerala,CS,Not specified,74,74,Data Science & Big Data Analytics
6,Chetan,23,3,Ratlam,Madhya Pradesh,CS,Not specified,75,75,Software Engineering & Development
1,Mounika,25,5,Jaipur,Rajasthan,CS,Female,76,76,Cloud Computing & DevOps
1,Ashok,26,4,Varanasi,Uttar Pradesh,CS,Not specified,77,77,Cybersecurity & Information Security
4,Bharti,23,3,Indore,Madhya Pradesh,CS,Not specified,78,78,Cloud Computing & DevOps
1,Kavya,21,6,Kalaburagi,Karnataka,CS,Male,79,79,Cybersecurity & Information Security
6,Sunil,20,5,Sagar,Madhya Pradesh,CS,Female,80,80,Software Engineering & Development
